rank,company,contact_type,recommended_titles,linkedin_search_url,linkedin_jobs_url,towns_cities,routes,score,connection_note
12,RETAIL TECHNOLOGY LTD,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=RETAIL+TECHNOLOGY+LTD+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=RETAIL+TECHNOLOGY+LTD+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed RETAIL TECHNOLOGY LTD is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at RETAIL TECHNOLOGY LTD."
13,Sai Technology Solutions Ltd,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Sai+Technology+Solutions+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Sai+Technology+Solutions+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Tring,Skilled Worker,108,"Hi, I noticed Sai Technology Solutions Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Sai Technology Solutions Ltd."
14,Sai Technology Solutions Ltd,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Sai+Technology+Solutions+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Sai+Technology+Solutions+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Tring,Skilled Worker,108,"Hi, I noticed Sai Technology Solutions Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Sai Technology Solutions Ltd."
15,Taina Technology,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Taina+Technology+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Taina+Technology+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Taina Technology is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Taina Technology."
16,Taina Technology,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Taina+Technology+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Taina+Technology+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,108,"Hi, I noticed Taina Technology is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Taina Technology."
17,Container Solutions Software Ltd,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Container+Solutions+Software+Ltd+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Container+Solutions+Software+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,104,"Hi, I noticed Container Solutions Software Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Container Solutions Software Ltd."
18,Container Solutions Software Ltd,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Container+Solutions+Software+Ltd+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Container+Solutions+Software+Ltd+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,London,Skilled Worker,104,"Hi, I noticed Container Solutions Software Ltd is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Container Solutions Software Ltd."
19,Telefonica Tech UK Data & AI Limited,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Farnham,Skilled Worker,100,"Hi, I noticed Telefonica Tech UK Data & AI Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Telefonica Tech UK Data & AI Limited."
20,Telefonica Tech UK Data & AI Limited,Hiring Manager,Engineering Manager | Head of Engineering | Head of AI | CTO,https://www.linkedin.com/search/results/people/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Engineering+Manager+OR+Head+of+Engineering+OR+Head+of+AI+OR+CTO,https://www.linkedin.com/jobs/search/?keywords=Telefonica+Tech+UK+Data+%26+AI+Limited+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Farnham,Skilled Worker,100,"Hi, I noticed Telefonica Tech UK Data & AI Limited is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at Telefonica Tech UK Data & AI Limited."
21,BRAIN BRIDGE TECHNOLOGY LIMITED,Recruiter,Technical Recruiter | Engineering Recruiter | Talent Acquisition | Internal Recruiter,https://www.linkedin.com/search/results/people/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Technical+Recruiter+OR+Engineering+Recruiter+OR+Talent+Acquisition+OR+Internal+Recruiter,https://www.linkedin.com/jobs/search/?keywords=BRAIN+BRIDGE+TECHNOLOGY+LIMITED+Generative+AI+Engineer+OR+Applied+AI+Engineer+OR+AI+Software+Engineer+OR+Backend+Engineer+OR+Python+Engineer+OR+Full+Stack+Engineer,Brentwood,Skilled Worker,98,"Hi, I noticed BRAIN BRIDGE TECHNOLOGY LIMITED is a licensed sponsor. I’m a UK-based applied AI/software engineer with 3+ years in Python, FastAPI, React, and production AI systems. I’d value connecting and learning about relevant engineering openings at BRAIN BRIDGE TECHNOLOGY LIMITED."
